listing_id,locality,bhk,sqft,bathrooms,furnishing,property_age_years,metro_distance_km,parking,gated_community,monthly_rent_inr
BLR-0034,HSR Layout,2,1183,1,Semi Furnished,19,5.4,1,0,37940
BLR-0035,Koramangala,3,1358,2,Semi Furnished,8,1.7,1,0,64355
BLR-0036,Sarjapur Road,2,1205,3,Semi Furnished,1,2.2,1,0,41699
BLR-0037,Hebbal,3,1461,3,Fully Furnished,4,6.8,1,1,50283
BLR-0038,Jayanagar,2,1206,1,Semi Furnished,5,3.5,1,1,54093
BLR-0039,Marathahalli,2,1226,1,Semi Furnished,8,4.5,0,1,35424
BLR-0040,Kengeri,2,1011,3,Fully Furnished,14,5.0,0,0,27257
BLR-0041,Kengeri,2,1089,2,Semi Furnished,9,2.2,0,1,23176
BLR-0042,Yelahanka,1,802,1,Fully Furnished,7,4.2,1,1,28101
BLR-0043,Banashankari,4,1930,4,Semi Furnished,8,1.9,0,1,54396
BLR-0044,Kengeri,2,1210,2,Fully Furnished,10,0.2,1,1,38279
BLR-0045,Sarjapur Road,2,1057,3,Semi Furnished,18,2.7,1,1,39834
BLR-0046,Indiranagar,3,1487,3,Semi Furnished,1,1.7,1,1,73109
BLR-0047,Banashankari,2,1288,3,Unfurnished,9,4.5,0,1,37493
BLR-0048,Jayanagar,1,527,1,Semi Furnished,0,3.3,1,0,31366
BLR-0049,Kengeri,1,810,1,Unfurnished,4,3.8,1,1,7000
BLR-0050,Marathahalli,3,1486,3,Semi Furnished,5,6.5,1,1,45659
BLR-0051,HSR Layout,2,1048,3,Unfurnished,15,0.2,0,0,31707
BLR-0052,Jayanagar,1,937,1,Semi Furnished,8,6.2,1,1,35753
BLR-0053,Sarjapur Road,2,1223,2,Semi Furnished,9,2.7,0,1,39420
BLR-0054,Hebbal,3,1592,3,Semi Furnished,4,2.5,0,1,51559
BLR-0055,Sarjapur Road,2,1187,1,Unfurnished,1,0.8,0,1,37112
BLR-0056,Koramangala,2,1286,3,Semi Furnished,10,4.1,1,1,57434
BLR-0057,Marathahalli,2,993,2,Semi Furnished,8,0.4,0,1,44446
BLR-0058,HSR Layout,3,1506,3,Unfurnished,9,2.0,1,1,49014
BLR-0059,Sarjapur Road,2,927,1,Fully Furnished,14,2.5,0,0,36764
BLR-0060,Kengeri,1,967,1,Semi Furnished,15,3.2,0,1,20384
BLR-0061,Koramangala,2,1195,1,Semi Furnished,2,3.9,1,1,53218
BLR-0062,Banashankari,3,1252,3,Semi Furnished,0,2.5,1,1,38234
BLR-0063,Yelahanka,2,1046,3,Unfurnished,16,0.2,1,1,23745
BLR-0064,HSR Layout,3,1328,3,Fully Furnished,7,4.0,1,1,53231
BLR-0065,Whitefield,2,1311,1,Semi Furnished,17,0.2,0,1,42018
BLR-0066,Koramangala,1,748,1,Unfurnished,0,2.9,1,1,31036
BLR-0067,Yelahanka,4,1935,4,Semi Furnished,9,4.6,1,1,43126
BLR-0068,Koramangala,2,939,2,Unfurnished,3,0.7,1,1,46342
BLR-0069,Indiranagar,3,1378,3,Unfurnished,1,3.0,1,1,56975
BLR-0070,Indiranagar,2,1346,2,Unfurnished,18,3.3,1,1,55540
BLR-0071,Koramangala,2,1256,2,Semi Furnished,0,0.2,1,1,64532
BLR-0072,Electronic City,2,1144,2,Unfurnished,5,2.8,0,0,30625
BLR-0073,Koramangala,3,1456,3,Unfurnished,11,8.3,1,0,47943
BLR-0074,Kengeri,4,1906,5,Semi Furnished,17,1.2,1,0,43535
BLR-0075,Marathahalli,1,671,1,Semi Furnished,6,2.8,0,1,22826
BLR-0076,Banashankari,4,1840,5,Semi Furnished,6,0.2,1,1,57923
BLR-0077,Electronic City,2,1240,2,Unfurnished,13,6.8,0,0,21934
BLR-0078,Whitefield,1,847,2,Unfurnished,3,4.7,1,1,31948
BLR-0079,Jayanagar,1,623,1,Semi Furnished,0,6.1,1,1,32144
BLR-0080,Electronic City,3,1486,3,Semi Furnished,18,4.6,1,1,30933
BLR-0081,Yelahanka,3,1726,3,Semi Furnished,18,5.7,1,1,36555
BLR-0082,Yelahanka,2,1096,2,Unfurnished,15,3.1,1,1,25483
BLR-0083,Yelahanka,2,1159,1,Unfurnished,7,4.2,1,1,25086
BLR-0084,Banashankari,2,1143,2,Semi Furnished,11,5.2,1,0,33502
BLR-0085,Hebbal,2,1160,1,Fully Furnished,7,4.0,1,1,45960
BLR-0086,Whitefield,1,679,1,Semi Furnished,0,4.7,1,1,24670
BLR-0087,Hebbal,3,1346,3,Semi Furnished,0,3.6,1,1,46707
BLR-0088,HSR Layout,2,1125,2,Fully Furnished,6,4.9,1,0,49534
BLR-0089,Kengeri,2,1087,3,Unfurnished,14,1.7,1,0,22754
BLR-0090,HSR Layout,2,1001,2,Unfurnished,19,2.8,1,1,40605
BLR-0091,Indiranagar,3,1445,4,Unfurnished,4,3.0,0,1,64804
BLR-0092,Hebbal,2,1061,1,Semi Furnished,6,2.6,1,1,34568
BLR-0093,Hebbal,2,914,3,Fully Furnished,14,5.7,1,1,39978
BLR-0094,Kengeri,2,1126,1,Semi Furnished,11,6.9,0,1,20661
BLR-0095,Yelahanka,2,986,3,Semi Furnished,1,3.8,1,1,29488
BLR-0096,Yelahanka,3,1517,2,Unfurnished,14,6.0,1,0,27560
BLR-0097,Kengeri,3,1516,3,Semi Furnished,14,5.3,0,1,32487
BLR-0098,Koramangala,3,1444,3,Semi Furnished,11,2.7,1,1,64985
BLR-0099,Electronic City,2,1150,2,Fully Furnished,17,2.0,1,1,34508
BLR-0100,Yelahanka,2,996,2,Semi Furnished,20,3.8,1,1,30775
BLR-0101,Yelahanka,2,1147,2,Semi Furnished,6,2.0,1,1,26401
BLR-0102,Indiranagar,3,1629,2,Semi Furnished,15,7.4,0,1,63658
BLR-0103,Hebbal,2,1161,2,Unfurnished,2,5.7,0,0,28174
BLR-0104,Sarjapur Road,1,533,1,Unfurnished,16,0.8,0,1,18412
BLR-0105,Banashankari,3,1413,3,Fully Furnished,19,2.4,1,1,46024
BLR-0106,Indiranagar,3,1504,2,Semi Furnished,16,0.2,1,0,75099
BLR-0107,Kengeri,3,1476,2,Unfurnished,19,4.0,1,1,21280
BLR-0108,Jayanagar,2,1133,2,Unfurnished,0,1.4,1,0,38242
BLR-0109,Banashankari,2,1037,2,Unfurnished,15,3.2,1,1,29868
BLR-0110,Banashankari,2,1126,1,Semi Furnished,4,6.8,1,0,22682
BLR-0111,Marathahalli,2,1143,1,Unfurnished,15,3.6,1,0,27610
BLR-0112,Electronic City,3,1540,3,Fully Furnished,9,1.5,1,1,45276
BLR-0113,Banashankari,3,1429,2,Semi Furnished,6,4.0,1,1,43729
BLR-0114,Electronic City,2,1319,2,Semi Furnished,19,2.4,1,0,30251
BLR-0115,Kengeri,3,1566,4,Semi Furnished,19,4.4,0,1,32486
BLR-0116,HSR Layout,2,1090,2,Fully Furnished,2,6.9,1,1,50391
BLR-0117,Kengeri,2,1115,2,Unfurnished,0,0.2,1,1,22459
BLR-0118,Electronic City,3,1546,2,Fully Furnished,12,3.4,1,1,44786
BLR-0119,Marathahalli,1,732,1,Unfurnished,20,1.2,0,0,24453
BLR-0120,Yelahanka,1,728,1,Semi Furnished,5,2.0,1,1,23026
BLR-0121,Koramangala,2,1172,2,Semi Furnished,11,0.2,1,0,56148
BLR-0122,Indiranagar,1,964,1,Fully Furnished,7,1.4,1,1,51715
BLR-0123,Yelahanka,2,963,1,Unfurnished,15,3.4,1,1,16031
BLR-0124,Banashankari,3,1285,3,Semi Furnished,3,6.6,1,1,42234
BLR-0125,Sarjapur Road,2,1113,2,Unfurnished,12,4.4,1,1,27372
BLR-0126,Kengeri,3,1522,3,Unfurnished,16,4.3,1,1,28290
BLR-0127,Jayanagar,2,1133,2,Fully Furnished,19,2.7,0,1,53476
BLR-0128,Indiranagar,3,1543,2,Unfurnished,18,2.0,1,0,59826
BLR-0129,Sarjapur Road,2,1330,2,Unfurnished,12,1.8,1,0,33861
BLR-0130,Whitefield,2,1091,1,Unfurnished,6,4.1,1,1,35078
BLR-0131,Electronic City,2,1183,1,Unfurnished,17,0.6,1,0,23448
BLR-0132,Sarjapur Road,1,731,2,Fully Furnished,11,0.2,1,1,38828
BLR-0133,Marathahalli,3,1366,4,Semi Furnished,11,2.3,1,1,47375
BLR-0134,HSR Layout,3,1630,3,Semi Furnished,13,1.0,1,1,62182
BLR-0135,HSR Layout,2,1148,1,Semi Furnished,15,5.2,1,1,40422
BLR-0136,Kengeri,2,1074,2,Fully Furnished,11,0.2,1,1,36123
BLR-0137,Kengeri,2,1219,2,Semi Furnished,5,2.7,1,1,25426
BLR-0138,Marathahalli,2,977,2,Semi Furnished,17,2.0,0,1,34144
BLR-0139,Kengeri,1,876,2,Semi Furnished,6,0.3,1,0,15466
BLR-0140,Marathahalli,2,1398,2,Fully Furnished,0,0.7,1,0,55919
BLR-0141,Banashankari,2,1204,2,Unfurnished,6,6.0,1,1,31731
BLR-0142,Indiranagar,3,1484,3,Unfurnished,5,1.6,1,0,58761
BLR-0143,Jayanagar,3,1415,4,Semi Furnished,3,3.9,1,1,57601
BLR-0144,HSR Layout,2,1300,2,Semi Furnished,18,2.8,1,1,48530
BLR-0145,Sarjapur Road,1,889,1,Unfurnished,0,7.3,1,1,21289
BLR-0146,Kengeri,3,1492,3,Semi Furnished,10,0.2,1,0,26310
BLR-0147,Hebbal,2,1214,3,Semi Furnished,12,2.4,0,1,33312
BLR-0148,Marathahalli,2,1191,2,Unfurnished,0,2.4,1,0,34798
BLR-0149,Marathahalli,3,1429,2,Semi Furnished,9,3.6,0,1,41618
BLR-0150,Indiranagar,4,1977,5,Unfurnished,1,7.3,1,0,79297
BLR-0151,Whitefield,2,1074,1,Semi Furnished,13,4.8,1,1,42959
BLR-0152,Whitefield,3,1570,3,Fully Furnished,2,4.8,1,1,51735
BLR-0153,Jayanagar,4,1866,4,Semi Furnished,4,2.9,1,1,75373
BLR-0154,HSR Layout,2,1174,3,Semi Furnished,4,0.2,0,1,48208
BLR-0155,Marathahalli,1,622,1,Semi Furnished,1,2.1,0,0,31031
BLR-0156,Electronic City,1,756,1,Semi Furnished,11,3.8,1,1,28841
BLR-0157,Whitefield,2,1066,2,Unfurnished,15,7.1,0,1,35612
BLR-0158,HSR Layout,1,693,1,Unfurnished,19,2.5,1,1,31823
BLR-0159,Koramangala,4,1949,3,Unfurnished,8,0.2,1,1,81874
BLR-0160,Whitefield,3,1452,2,Semi Furnished,12,1.6,0,0,45875
BLR-0161,HSR Layout,3,1391,4,Semi Furnished,11,1.1,1,1,58058
BLR-0162,Electronic City,2,1243,2,Unfurnished,15,4.5,1,1,30706
BLR-0163,Marathahalli,1,699,1,Unfurnished,16,2.8,1,1,21225
BLR-0164,Whitefield,2,1089,3,Unfurnished,15,10.3,0,0,22245
BLR-0165,HSR Layout,2,1268,2,Unfurnished,9,0.2,1,1,40158
BLR-0166,Banashankari,3,1446,4,Semi Furnished,7,1.8,1,1,50097
BLR-0167,Jayanagar,3,1361,3,Semi Furnished,3,4.6,0,0,47499
BLR-0168,Electronic City,1,866,1,Semi Furnished,5,4.4,1,1,21804
BLR-0169,Hebbal,3,1383,3,Fully Furnished,17,2.1,1,1,54440
BLR-0170,Whitefield,3,1554,3,Unfurnished,5,0.2,1,0,49923
BLR-0171,Sarjapur Road,3,1541,3,Semi Furnished,18,2.2,1,0,51741
BLR-0172,Electronic City,3,1656,2,Unfurnished,8,5.3,1,1,34916
BLR-0173,Kengeri,2,1155,1,Unfurnished,18,2.5,1,1,19450
BLR-0174,Sarjapur Road,1,691,2,Semi Furnished,4,4.8,1,1,27058
BLR-0175,HSR Layout,2,1382,3,Semi Furnished,14,2.8,1,1,51333
BLR-0176,Yelahanka,2,1198,1,Fully Furnished,11,3.1,1,1,26965
BLR-0177,Indiranagar,3,1468,3,Semi Furnished,6,3.1,1,1,72665
BLR-0178,Koramangala,2,1167,2,Semi Furnished,5,3.5,1,1,48564
BLR-0179,Kengeri,2,1207,2,Semi Furnished,0,2.3,1,1,22973
BLR-0180,HSR Layout,2,1158,3,Semi Furnished,2,4.7,1,0,48245
BLR-0181,Electronic City,3,1547,2,Unfurnished,18,2.2,1,0,24849
BLR-0182,Yelahanka,1,568,1,Semi Furnished,11,3.9,1,1,20540
BLR-0183,Banashankari,2,1170,2,Semi Furnished,11,6.6,1,0,23804
BLR-0184,Hebbal,2,1025,2,Unfurnished,11,1.3,0,1,31880
BLR-0185,Kengeri,3,1463,4,Semi Furnished,6,2.2,1,1,37117
BLR-0186,HSR Layout,3,1555,3,Unfurnished,12,2.4,1,1,50328
BLR-0187,Koramangala,3,1470,3,Semi Furnished,2,1.3,1,1,71431
BLR-0188,HSR Layout,3,1491,3,Semi Furnished,11,0.3,1,1,64415
BLR-0189,Yelahanka,1,643,1,Fully Furnished,2,5.2,1,1,18275
BLR-0190,Yelahanka,2,897,3,Semi Furnished,4,5.1,0,1,25412
BLR-0191,Jayanagar,1,772,1,Unfurnished,18,1.6,1,1,29843
BLR-0192,HSR Layout,2,936,3,Semi Furnished,2,4.6,1,0,43812
BLR-0193,Koramangala,2,1231,3,Unfurnished,2,5.4,0,1,39026
BLR-0194,Koramangala,1,671,1,Semi Furnished,3,1.7,1,0,39788
BLR-0195,HSR Layout,2,1122,2,Semi Furnished,18,6.2,1,1,36094
BLR-0196,Whitefield,3,1515,2,Semi Furnished,16,2.9,1,1,40421
BLR-0197,Indiranagar,3,1474,3,Semi Furnished,16,2.6,0,1,61613
BLR-0198,Whitefield,3,1523,2,Semi Furnished,4,4.9,1,0,51175
BLR-0199,Koramangala,4,1803,5,Semi Furnished,5,2.3,1,0,78897
BLR-0200,Sarjapur Road,2,1076,2,Semi Furnished,15,4.8,0,1,30632
BLR-0201,Jayanagar,3,1516,4,Unfurnished,18,4.9,0,1,52181
BLR-0202,Kengeri,4,1995,4,Fully Furnished,4,2.5,0,1,38902
BLR-0203,Kengeri,2,1116,2,Semi Furnished,19,0.3,1,0,28247
BLR-0204,Koramangala,2,1152,1,Semi Furnished,16,0.2,1,1,46797
BLR-0205,Jayanagar,2,1090,1,Unfurnished,15,2.8,0,1,30258
BLR-0206,Jayanagar,3,1644,4,Semi Furnished,3,3.7,1,1,65909
BLR-0207,Whitefield,2,1024,3,Semi Furnished,15,3.4,1,0,40431
BLR-0208,Kengeri,2,1303,1,Semi Furnished,18,0.9,1,1,40887
BLR-0209,Sarjapur Road,2,1135,3,Semi Furnished,10,1.8,0,0,37480
BLR-0210,Marathahalli,2,1285,2,Semi Furnished,5,0.2,1,1,48066
BLR-0211,Banashankari,3,1505,3,Semi Furnished,3,4.7,1,1,48148
BLR-0212,Yelahanka,1,677,1,Unfurnished,13,3.6,1,1,14286
BLR-0213,HSR Layout,2,1064,2,Semi Furnished,12,5.0,0,1,35735
BLR-0214,Koramangala,3,1452,2,Semi Furnished,8,4.5,1,1,63793
BLR-0215,Koramangala,2,1224,2,Semi Furnished,11,2.1,1,0,51264
BLR-0216,HSR Layout,4,1939,5,Unfurnished,8,4.5,1,0,55178
BLR-0217,Kengeri,1,906,1,Fully Furnished,8,1.1,1,0,21075
BLR-0218,Marathahalli,3,1560,3,Unfurnished,8,1.5,1,1,52872
BLR-0219,Indiranagar,2,1091,2,Semi Furnished,2,2.2,1,1,62653
BLR-0220,Whitefield,3,1396,3,Semi Furnished,2,5.7,1,1,47082
BLR-0221,Yelahanka,2,1109,2,Semi Furnished,0,1.0,1,0,29428
BLR-0222,Indiranagar,3,1583,2,Semi Furnished,0,6.8,1,1,62001
BLR-0223,Indiranagar,3,1332,2,Fully Furnished,15,2.6,1,1,71203
BLR-0224,Whitefield,2,975,2,Semi Furnished,0,0.2,1,1,40640
BLR-0225,Whitefield,3,1709,3,Semi Furnished,15,0.2,1,1,65449
BLR-0226,HSR Layout,2,1072,2,Fully Furnished,19,1.9,1,0,48615
BLR-0227,Banashankari,2,1277,2,Unfurnished,4,6.7,0,0,21141
BLR-0228,Electronic City,4,1886,4,Semi Furnished,15,1.9,1,1,47923
BLR-0229,HSR Layout,4,1921,3,Unfurnished,5,3.2,1,1,66975
BLR-0230,Banashankari,2,1061,2,Semi Furnished,0,2.7,1,0,31852
BLR-0231,Banashankari,3,1521,4,Semi Furnished,14,3.0,1,1,40859
BLR-0232,Whitefield,2,1058,1,Fully Furnished,4,3.0,1,1,43191
BLR-0233,Jayanagar,2,1211,2,Semi Furnished,9,2.9,1,1,46467
BLR-0234,Banashankari,2,1086,2,Semi Furnished,1,3.4,1,0,33425
BLR-0235,Whitefield,2,907,2,Semi Furnished,3,5.0,1,0,36647
BLR-0236,Marathahalli,2,1100,2,Fully Furnished,4,1.2,0,1,44889
BLR-0237,Hebbal,3,1662,3,Semi Furnished,1,3.3,0,0,42819
BLR-0238,Jayanagar,4,1733,4,Unfurnished,18,0.9,0,1,68232
BLR-0239,Whitefield,3,1488,4,Fully Furnished,1,2.7,1,1,59576
BLR-0240,Hebbal,3,1637,3,Unfurnished,1,4.4,0,1,40617
BLR-0241,Banashankari,1,911,2,Semi Furnished,0,5.6,1,0,29369
BLR-0242,Marathahalli,2,1232,2,Semi Furnished,5,4.0,1,1,42586
BLR-0243,Electronic City,2,1134,1,Semi Furnished,13,2.5,0,1,22890
BLR-0244,Banashankari,2,1212,3,Unfurnished,2,2.1,0,1,28166
BLR-0245,Kengeri,3,1736,3,Fully Furnished,13,3.2,0,0,44661
BLR-0246,Koramangala,2,936,1,Semi Furnished,10,2.0,1,1,43900
BLR-0247,Marathahalli,2,1096,2,Semi Furnished,2,0.2,1,1,39737
BLR-0248,Indiranagar,2,1239,3,Semi Furnished,19,0.2,0,0,56354
BLR-0249,Marathahalli,2,1317,2,Unfurnished,16,5.9,1,1,39289
BLR-0250,Whitefield,3,1503,2,Semi Furnished,3,0.7,1,1,49430
BLR-0251,Koramangala,1,769,2,Semi Furnished,4,0.4,1,1,45537
BLR-0252,Marathahalli,2,1173,2,Semi Furnished,11,7.1,1,1,40923
BLR-0253,Hebbal,3,1404,3,Semi Furnished,16,6.5,0,1,42653
BLR-0254,Electronic City,2,1342,2,Semi Furnished,19,3.4,1,0,25448
BLR-0255,Yelahanka,2,1173,2,Unfurnished,10,4.8,1,1,26142
BLR-0256,Indiranagar,3,1623,2,Semi Furnished,12,2.3,1,1,74493
BLR-0257,Banashankari,2,1186,2,Unfurnished,13,0.8,1,1,36496
BLR-0258,HSR Layout,2,1199,3,Semi Furnished,18,6.3,0,1,37726
BLR-0259,Kengeri,2,1007,1,Unfurnished,5,3.3,1,1,24564
BLR-0260,HSR Layout,2,1135,1,Fully Furnished,0,2.9,1,1,54069
BLR-0261,HSR Layout,2,906,3,Unfurnished,16,5.6,1,1,33747
BLR-0262,Whitefield,2,1172,2,Semi Furnished,18,1.1,1,0,50855
BLR-0263,Whitefield,3,1613,2,Semi Furnished,3,4.6,1,1,50540
BLR-0264,Kengeri,4,1677,3,Semi Furnished,15,2.9,0,0,28890
BLR-0265,Electronic City,3,1569,3,Fully Furnished,14,1.6,1,0,38080
BLR-0266,Banashankari,2,1064,2,Semi Furnished,19,4.9,0,1,28880
BLR-0267,Koramangala,4,1952,4,Fully Furnished,1,4.8,0,0,87691
BLR-0268,Sarjapur Road,2,1061,1,Semi Furnished,7,5.8,0,1,34387
BLR-0269,Hebbal,2,1122,3,Fully Furnished,17,2.5,1,1,45595
BLR-0270,Kengeri,2,1063,1,Semi Furnished,3,4.2,1,1,30910
BLR-0271,Hebbal,3,1344,4,Semi Furnished,2,3.4,1,1,43644
BLR-0272,Sarjapur Road,2,1123,2,Semi Furnished,0,4.3,1,1,46585
BLR-0273,HSR Layout,1,943,1,Fully Furnished,12,1.6,1,0,44145
BLR-0274,HSR Layout,3,1680,3,Fully Furnished,12,5.1,1,1,68106
BLR-0275,Marathahalli,2,1045,2,Semi Furnished,5,3.5,1,1,33106
BLR-0276,Kengeri,3,1504,2,Semi Furnished,10,6.3,0,1,35021
BLR-0277,Marathahalli,4,1614,4,Semi Furnished,5,5.1,0,1,49440
BLR-0278,Marathahalli,2,1027,2,Semi Furnished,11,2.8,1,1,34374
BLR-0279,Marathahalli,1,559,1,Unfurnished,19,3.7,0,1,15110
BLR-0280,Marathahalli,2,1230,1,Semi Furnished,17,1.6,1,0,34018
BLR-0281,Kengeri,2,962,2,Semi Furnished,6,2.9,1,1,25857
BLR-0282,Sarjapur Road,3,1507,4,Semi Furnished,20,5.3,1,1,50255
BLR-0283,HSR Layout,4,1803,4,Unfurnished,18,7.5,0,0,50407
BLR-0284,Sarjapur Road,3,1471,2,Semi Furnished,5,4.3,1,1,48573
BLR-0285,Indiranagar,2,1253,1,Semi Furnished,20,3.7,1,1,59934
BLR-0286,HSR Layout,3,1372,2,Unfurnished,10,3.7,1,1,51655
BLR-0287,Electronic City,2,1291,2,Fully Furnished,17,4.9,1,1,34812
BLR-0288,Whitefield,3,1506,4,Unfurnished,20,4.2,1,0,42876
BLR-0289,HSR Layout,2,1186,2,Fully Furnished,14,1.8,1,0,50444
BLR-0290,Banashankari,2,1305,2,Fully Furnished,4,0.2,1,1,42326
BLR-0291,Marathahalli,2,1059,3,Unfurnished,1,4.4,0,0,28498
BLR-0292,Hebbal,2,1076,2,Fully Furnished,14,5.6,1,1,45689
BLR-0293,Koramangala,4,1918,4,Semi Furnished,16,5.7,0,0,74773
BLR-0294,Jayanagar,4,2004,4,Fully Furnished,0,1.4,0,0,77066
BLR-0295,Sarjapur Road,2,956,2,Fully Furnished,12,3.6,1,0,41805
BLR-0296,Kengeri,2,840,2,Semi Furnished,1,4.2,1,1,30784
BLR-0297,Marathahalli,4,1918,4,Semi Furnished,20,3.6,1,1,61723
BLR-0298,Yelahanka,2,996,2,Fully Furnished,15,2.9,1,1,27248
BLR-0299,Whitefield,3,1420,3,Semi Furnished,11,2.6,1,1,48676
BLR-0300,Sarjapur Road,2,1016,2,Unfurnished,16,2.3,1,1,38501
BLR-0301,Kengeri,3,1534,3,Semi Furnished,0,3.6,1,1,35510
BLR-0302,Hebbal,2,1167,2,Semi Furnished,17,5.2,0,0,31975
BLR-0303,Kengeri,3,1446,3,Semi Furnished,9,6.7,1,1,32121
BLR-0304,Jayanagar,3,1671,3,Semi Furnished,18,4.8,1,0,59563
BLR-0305,Kengeri,2,1221,2,Semi Furnished,16,9.5,1,1,21143
BLR-0306,Marathahalli,2,1109,2,Semi Furnished,10,4.1,1,0,35410
BLR-0307,Marathahalli,2,1357,2,Semi Furnished,18,4.0,1,1,37838
BLR-0308,Electronic City,2,1223,2,Fully Furnished,15,0.9,0,1,32746
BLR-0309,Electronic City,2,957,3,Semi Furnished,11,1.0,1,1,30371
BLR-0310,Indiranagar,2,1230,3,Semi Furnished,2,3.0,1,1,63356
BLR-0311,Indiranagar,2,1137,3,Semi Furnished,15,4.0,1,1,56065
BLR-0312,Marathahalli,2,934,2,Fully Furnished,3,4.4,1,1,30053
BLR-0313,Kengeri,3,1593,3,Fully Furnished,7,2.0,1,1,39721
BLR-0314,Whitefield,2,1042,2,Unfurnished,16,2.0,0,0,39572
BLR-0315,Electronic City,2,1295,2,Semi Furnished,20,0.2,1,0,26166
BLR-0316,Jayanagar,2,1283,2,Semi Furnished,18,2.5,1,1,51328
BLR-0317,Hebbal,2,1130,2,Fully Furnished,19,4.1,1,1,33668
BLR-0318,Whitefield,2,1320,2,Semi Furnished,16,2.6,1,1,47754
BLR-0319,Indiranagar,2,1072,2,Unfurnished,17,2.9,1,0,38978
BLR-0320,Whitefield,1,829,2,Semi Furnished,0,0.2,1,1,43019
BLR-0321,Hebbal,1,740,2,Semi Furnished,17,3.8,1,1,29429
BLR-0322,Indiranagar,4,2120,3,Fully Furnished,18,4.9,1,1,94994
BLR-0323,Banashankari,2,1372,2,Semi Furnished,13,3.9,1,1,40142
BLR-0324,HSR Layout,2,1288,3,Semi Furnished,11,5.0,1,1,46618
BLR-0325,Kengeri,3,1672,3,Fully Furnished,15,4.0,1,0,39443
BLR-0326,Electronic City,2,978,1,Semi Furnished,11,2.4,1,0,26879
BLR-0327,Marathahalli,4,2036,4,Semi Furnished,20,5.2,1,1,56804
BLR-0328,Koramangala,2,1032,2,Semi Furnished,7,1.9,0,1,46560
BLR-0329,Sarjapur Road,2,1233,2,Fully Furnished,0,3.3,1,1,51734
BLR-0330,Yelahanka,3,1474,3,Unfurnished,11,5.6,1,0,29976
BLR-0331,Hebbal,3,1626,3,Semi Furnished,5,4.6,1,1,37773
BLR-0332,HSR Layout,3,1645,3,Semi Furnished,13,3.0,1,1,62195
BLR-0333,HSR Layout,2,985,2,Unfurnished,13,5.0,1,0,34429
BLR-0334,HSR Layout,3,1392,2,Semi Furnished,18,2.2,1,0,49100
BLR-0335,Marathahalli,2,1055,3,Semi Furnished,8,6.1,1,1,35649
BLR-0336,Sarjapur Road,1,544,1,Semi Furnished,13,4.8,0,1,22146
BLR-0337,Electronic City,2,953,2,Fully Furnished,6,2.4,1,1,30469
